Dataset,Configuration,Metric,Seed_13,Seed_42,Seed_87,Seed_123,Seed_2024,Mean,SD,CI95_Lower,CI95_Upper
Hydraulic_Systems,Full,accuracy,0.6699999999933,0.33999999999659997,0.3099999999969,0.6399999999936,0.2599999999974,0.44399999999555995,0.19501282008944798,0.20189842078793122,0.6861015792031887
Hydraulic_Systems,Full,precision,0.0,0.33999999999659997,0.3099999999969,0.0,0.2599999999974,0.18199999999818,0.1685823241014063,-0.027289045064202433,0.39128904506056245
Hydraulic_Systems,Full,recall,0.0,0.9999999999705883,0.9999999999677419,0.0,0.9999999999615384,0.5999999999799737,0.5477225574868847,-0.0799783525939407,1.2799783525538881
Hydraulic_Systems,Full,macro_f1,0.4011976045453763,0.25373134309044326,0.23664122118979078,0.3902439021963117,0.20634920618216174,0.29763265544081674,0.09121744637852579,0.18438939374448876,0.4108759171371447
Hydraulic_Systems,Full,latency_s,0.0017972099973121657,0.0018195590010145679,0.0019663010005024264,0.0016644920010003262,0.001507109998492524,0.001750934399664402,0.0001733177475752813,0.0015357664923779045,0.0019661023069508995
Hydraulic_Systems,PPO,accuracy,0.6699999999933,0.6599999999934,0.6899999999931,0.6399999999936,0.7399999999926,0.6799999999932,0.038078865528938764,0.632726423441861,0.7272735765445391
Hydraulic_Systems,PPO,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydraulic_Systems,PPO,recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydraulic_Systems,PPO,macro_f1,0.4011976045453763,0.3975903612014806,0.40828402342221903,0.3902439021963117,0.4252873560725327,0.4045206494875841,0.013307104515939285,0.3880003457633871,0.4210409532117811
Hydraulic_Systems,PPO,latency_s,0.001462510000274051,0.0019387320007081144,0.002019244999391958,0.002470778000133578,0.0017370889999438078,0.0019256708000903017,0.0003728771939621899,0.001462756836447559,0.0023885847637330447
Hydraulic_Systems,Rule-based,accuracy,0.6699999999933,0.6599999999934,0.6899999999931,0.6399999999936,0.7399999999926,0.6799999999932,0.038078865528938764,0.632726423441861,0.7272735765445391
Hydraulic_Systems,Rule-based,precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydraulic_Systems,Rule-based,recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydraulic_Systems,Rule-based,macro_f1,0.4011976045453763,0.3975903612014806,0.40828402342221903,0.3902439021963117,0.4252873560725327,0.4045206494875841,0.013307104515939285,0.3880003457633871,0.4210409532117811
Hydraulic_Systems,Rule-based,latency_s,0.0007298499997705221,0.0005187109994585626,0.000524528999812901,0.000481162998767104,0.001100492998957634,0.0006709491993533448,0.00025913863391141713,0.00034923767046573004,0.0009926607282409595
Hydraulic_Systems,SAC,accuracy,0.3299999999967,0.6599999999934,0.3099999999969,0.6399999999936,0.7399999999926,0.53599999999464,0.2008233054184534,0.2866849069602293,0.7853150930290507
Hydraulic_Systems,SAC,precision,0.3299999999967,0.0,0.3099999999969,0.0,0.0,0.12799999999871997,0.17541379649099612,-0.08977007853148472,0.34577007852892466
Hydraulic_Systems,SAC,recall,0.9999999999696971,0.0,0.9999999999677419,0.0,0.0,0.3999999999874878,0.5477225574880331,-0.2799783525878523,1.079978352562828
Hydraulic_Systems,SAC,macro_f1,0.24812030056159193,0.3975903612014806,0.23664122118979078,0.3902439021963117,0.4252873560725327,0.3395766282443416,0.08977618368042417,0.2281226436586333,0.45103061283004986
Hydraulic_Systems,SAC,latency_s,0.003389367998461239,0.0022521909995703027,0.003591072998533491,0.0019060499989427626,0.0017127949991845525,0.0025702953989384697,0.0008646655606381763,0.0014968434196227815,0.003643747378254158
